ticker,1120,1216,1299,2015,2308,2318,2330,2454,2882,2884,2892,3690,373220,600900,6098,6501,660,6669,6758,700,7203,8306,8316,9020,9022,9502,968,9988,AAPL,ABBN,ABBV,ACA,ACM,ACN,ADP,ADSK,AFRM,AI,AIR,ALV,AMAT,AMD,AMZN,ASML,AVGO,AXON,AXP,AZN,BE,BKNG,BLK,BURL,CASY,CBA,CM,COHR,COST,CRDO,CRM,CS,CSCO,CSL,CVX,CW,DIS,DLR,ECL,EDP,EDPR,EL,ELET3,EME,ENPH,EQIX,EQTL3,ETN,FIX,FLEX,FNF,FSLR,FTI,GE,GEV,GILD,GOOG,GOOGL,GS,GWRE,HD,HDFCBANK,HSBA,IBE,IBKR,IBM,ICICIBANK,INFY,INSM,INTU,ITUB4,JHG,JLL,JNJ,JPM,KMB,KO,LIN,LLY,M&M,MA,MCD,META,MS,MSFT,NDX1,NESN,NFLX,NHPC,NOVN,NOVO B,NOW,NPI,NPN,NVDA,NXT,OGS,OKE,OKTA,ORA,ORCL,ORSTED,OSK,OVV,PG,PLTR,PSTG,QCOM,RBA,REGN,REL,RELIANCE,RKLB,ROG,RPM,RY,SAP,SCHW,SFM,SGI,SHOP,SHW,SIE,SOFI,SPGI,SSE,SU,SUZLON,THC,TPR,TSLA,TTE,TXN,ULVR,UNM,USFD,V,VICI,VNA,VWS,VZ,WMT,WSP,XOM,XYL,ZTS,ZURN,ZWS
1120,0.0018046179,-0.0000054205,-0.0000238092,-0.0000785001,-0.0001166423,0.0000206535,-0.0000429323,-0.0000629998,-0.0000070991,-0.0000597901,-0.0000294602,-0.0000523793,0.0001077614,0.0000400648,0.0000297960,0.0000655785,-0.0001943419,-0.0000409437,0.0001418087,-0.0000523649,-0.0000001719,0.0000293340,0.0001015710,-0.0000083543,0.0000125886,0.0000146568,-0.0000273608,-0.0000975861,0.0000445868,0.0000327693,-0.0000342741,0.0001157125,-0.0000056050,-0.0000361871,0.0000623310,-0.0000118063,-0.0001150565,-0.0000049947,0.0001164262,0.0000225725,0.0000037072,0.0000270324,0.0000644045,-0.0000513545,0.0000430357,0.0000584752,0.0000081966,-0.0000047732,0.0001803387,0.0000025630,0.0000168610,0.0001406979,-0.0000170007,-0.0000336436,0.0000073979,0.0002719242,-0.0000564297,0.0002027719,0.0000028748,0.0000428085,0.0000303462,-0.0000605474,-0.0000036415,0.0000064180,0.0000200375,0.0000082785,0.0000138903,0.0000526399,0.0001051337,0.0000031633,0.0000174381,0.0000917779,0.0000839105,0.0000172074,0.0000642246,-0.0000085851,0.0001956543,0.0000005898,-0.0000058063,0.0000124538,-0.0000115650,0.0000336998,0.0000865161,0.0001088789,0.0000586070,0.0000612572,0.0000708992,-0.0001084299,0.0000095026,0.0000262676,0.0000307747,0.0000228172,0.0000332171,-0.0000058160,0.0000036724,0.0000031579,-0.0001116936,0.0000614435,0.0000060693,0.0000307627,0.0000114760,0.0000203783,0.0000822563,-0.0000262490,-0.0000155504,0.0000137524,-0.0000717141,0.0000421349,-0.0000462041,-0.0000121575,-0.0000116117,0.0000205750,0.0000143572,0.0000781025,-0.0000108846,0.0000152321,-0.0000071314,0.0000184073,-0.0000889016,0.0000067226,0.0000448350,-0.0000276683,0.0000855887,-0.0000957054,-0.0000061780,-0.0000431346,0.0000019131,-0.0000127681,0.0001468365,0.0001387770,-0.0000947555,0.0000703491,0.0000185930,0.0000726900,0.0000192421,0.0000746329,-0.0000199595,0.0001144638,0.0000391480,-0.0000406737,0.0001385155,-0.0000105851,-0.0000266869,0.0000132005,-0.0000148536,0.0000560592,0.0000154583,-0.0000077595,0.0001003602,-0.0000180946,0.0000515491,-0.0000446693,-0.0000100143,0.0000509016,0.0000531172,0.0000115876,0.0000324221,0.0000355386,0.0001463811,-0.0000063669,-0.0000767149,0.0000109108,-0.0000220058,0.0000711507,-0.0000205606,-0.0000783017,0.0000182320,-0.0000982009,0.0000106964,0.0000496002,0.0000139646,0.0000138858,0.0000027660,-0.0000819203,-0.0000033239,-0.0000074628
1216,-0.0000054205,0.0000752614,-0.0000067719,0.0000105832,-0.0000004862,0.0000014603,-0.0000097168,-0.0000160113,-0.0000180407,0.0000047093,0.0000016209,0.0000056869,-0.0000158959,0.0000120965,-0.0000488501,-0.0000135184,-0.0000418124,-0.0000468084,-0.0000195729,-0.0000009211,-0.0000230300,-0.0000088980,-0.0000148090,0.0000126651,-0.0000053632,0.0000056554,-0.0000067650,-0.0000087707,-0.0000224655,-0.0000064359,0.0000125755,-0.0000003319,0.0000068083,0.0000207062,0.0000113545,0.0000066258,-0.0000178335,0.0000010319,0.0000163623,0.0000097307,-0.0000058304,-0.0000136316,-0.0000129348,-0.0000211476,-0.0000082573,-0.0000064754,0.0000036520,0.0000056275,-0.0000582355,0.0000062329,-0.0000028768,0.0000198832,0.0000106281,-0.0000015784,-0.0000002211,-0.0000154194,0.0000034734,-0.0000191504,0.0000075549,0.0000087934,-0.0000007320,-0.0000016893,-0.0000051304,0.0000054918,0.0000011398,0.0000029336,0.0000086639,-0.0000105436,-0.0000382220,-0.0000105200,-0.0000079092,0.0000042990,0.0000330568,0.0000050799,-0.0000047341,-0.0000038648,-0.0000146581,-0.0000048611,0.0000082540,-0.0000602336,-0.0000010304,0.0000139051,0.0000064495,0.0000022494,-0.0000032980,-0.0000051873,-0.0000072671,-0.0000101083,0.0000074793,0.0000036960,-0.0000045315,0.0000118699,-0.0000040092,0.0000086242,0.0000013862,-0.0000004191,-0.0000004743,0.0000083112,0.0000007887,0.0000023778,-0.0000049449,0.0000105208,-0.0000085530,0.0000118332,0.0000082291,0.0000136088,0.0000184241,0.0000048734,0.0000123607,0.0000158350,-0.0000027281,-0.0000117400,0.0000081334,-0.0000314931,0.0000058561,0.0000092861,0.0000017354,-0.0000068645,0.0000089901,-0.0000035861,0.0000009627,-0.0000050783,-0.0000264123,-0.0000520806,0.0000171968,0.0000026523,-0.0000100800,0.0000010862,0.0000150888,-0.0000316651,0.0000207432,-0.0000041160,0.0000014785,-0.0000026468,-0.0000059959,0.0000067906,-0.0000008179,0.0000139253,0.0000095661,0.0000088509,0.0000421338,-0.0000014853,0.0000104751,0.0000025602,0.0000154748,-0.0000025348,0.0000111585,0.0000039747,-0.0000236337,0.0000054305,-0.0000035930,0.0000158141,0.0000054548,0.0000076130,0.0000019573,0.0000084046,0.0000155633,0.0000130929,-0.0000140651,-0.0000003955,0.0000121912,0.0000098332,0.0000048146,0.0000063552,0.0000110122,0.0000155708,0.0000016298,-0.0000542247,0.0000129679,-0.0000016455,0.0000019826,-0.0000121118,0.0000013714,0.0000130194,0.0000072296,-0.0000052198
1299,-0.0000238092,-0.0000067719,0.0002702936,0.0001494605,0.0000556344,0.0001607183,0.0000608875,0.0000257376,0.0000514818,0.0000061506,0.0000119926,0.0001418742,-0.0000079850,-0.0000014568,0.0000863267,0.0000241404,0.0000461429,0.0001032401,0.0000748929,0.0001375322,-0.0000093180,0.0000348867,0.0000326484,-0.0000393887,-0.0000220717,-0.0000107126,0.0000552411,0.0002135343,0.0000136714,0.0000332655,-0.0000173193,0.0000063626,0.0000140584,0.0000170725,0.0000092799,0.0000060146,0.0001196160,0.0000179666,0.0000240160,0.0000267290,0.0000654079,0.0001451175,0.0000444638,0.0000745998,0.0000223912,-0.0000018176,-0.0000035139,0.0000104312,0.0000201051,0.0000086441,0.0000169632,0.0000049534,-0.0000206032,0.0000371484,-0.0000045424,0.0000619009,-0.0000140523,0.0000792940,0.0000473656,0.0000201693,0.0000056793,0.0000271652,0.0000077648,0.0000259122,0.0000422159,-0.0000016270,0.0000117859,-0.0000049980,-0.0000177806,-0.0000022459,0.0000031225,-0.0000038173,0.0000134119,-0.0000018643,-0.0000120464,0.0000191224,0.0000028121,0.0000475138,0.0000177030,-0.0000016333,0.0000295534,-0.0000049229,-0.0000171430,-0.0000154101,0.0000046207,0.0000031811,0.0000370363,0.0000026679,0.0000136151,0.0000135462,0.0000234450,0.0000005899,0.0000214625,0.0000253904,-0.0000029791,0.0000595970,0.0000178442,-0.0000010258,-0.0000061552,0.0000249813,0.0000138595,-0.0000020244,0.0000250607,0.0000008855,-0.0000003801,0.0000022129,-0.0000005946,0.0000213448,0.0000195754,-0.0000146980,0.0000071371,0.0000439517,0.0000120055,-0.0000011814,0.0000031335,0.0000077350,0.0000439431,-0.0000093669,0.0000392216,0.0000238872,0.0000330527,0.0000860372,0.0000711361,0.0000521440,-0.0000011584,0.0000142484,-0.0000022043,-0.0000113902,0.0000092757,-0.0000341324,0.0000213733,0.0000207814,-0.0000002724,0.0000269334,0.0000321022,0.0000584350,0.0000163806,0.0000243365,-0.0000116982,0.0000152377,0.0000065782,-0.0000073164,0.0000182667,-0.0000061730,0.0000442897,0.0000149529,-0.0000559514,-0.0000028939,0.0000546970,0.0000025873,0.0000518953,0.0000029302,0.0000340260,0.0000188791,0.0000579916,-0.0000001855,0.0000243385,0.0000000139,0.0000306658,-0.0000029679,0.0000661201,-0.0000124900,-0.0000165725,0.0000085270,0.0000196516,-0.0000034053,0.0000440272,0.0000600040,0.0000054325,-0.0000010174,-0.0000013201,-0.0000025809,0.0000081459,-0.0000077166,0.0000254433,0.0000109842
2015,-0.0000785001,0.0000105832,0.0001494605,0.0006075027,0.0001225073,0.0001465689,0.0000525765,0.0000425334,0.0001012596,-0.0000002203,0.0000007315,0.0002686628,-0.0000652956,-0.0000026537,0.0000469523,-0.0000085826,0.0000821246,0.0000745748,-0.0000168506,0.0001659428,-0.0000163796,0.0000133211,0.0000189533,-0.0000542357,-0.0000024797,-0.0000393386,0.0001441173,0.0002831351,-0.0000014121,0.0000408776,0.0000169536,0.0000161536,0.0000410454,0.0000587476,0.0000154279,0.0000570775,0.0003044073,-0.0000029648,0.0000495036,0.0000177792,0.0000555059,0.0001695543,0.0000469225,0.0001365903,0.0000212122,0.0000261471,0.0000285905,0.0000045344,0.0000272639,0.0000184409,0.0000396353,0.0000563539,-0.0000574451,0.0000140284,0.0000140684,0.0000806673,0.0000175683,-0.0000062061,0.0000626414,0.0000069459,0.0000276429,0.0000051239,0.0000164181,0.0000208013,0.0000939383,0.0000281448,-0.0000174286,-0.0000274478,-0.0000147167,0.0000110301,-0.0000107284,0.0000138231,0.0002323974,-0.0000044387,-0.0000227870,0.0000484163,-0.0000063748,0.0000893309,0.0000017986,0.0001552180,0.0000096674,0.0000365932,-0.0000265200,-0.0000162550,0.0000550153,0.0000554582,0.0000465140,0.0000144988,0.0000381953,0.0000176369,0.0000509204,-0.0000318978,0.0000101545,0.0000556237,0.0000114531,0.0000552344,-0.0000338097,0.0000112217,-0.0000126031,0.0000488301,0.0000766183,0.0000040108,0.0000445606,0.0000056137,0.0000094247,0.0000092623,-0.0000116110,0.0000282626,0.0000469535,-0.0000172447,0.0000693601,0.0000532446,0.0000341183,0.0000541653,-0.0000131375,0.0000238304,0.0000931622,0.0000049617,-0.0000076189,0.0000280550,0.0000359960,0.0001427529,0.0000314196,0.0000935241,-0.0000218300,0.0000403147,0.0000175443,-0.0000123327,0.0000137486,-0.0000530463,0.0000559294,0.0000544971,0.0000273982,0.0001308032,0.0000821322,0.0000671258,0.0000468974,0.0000188585,0.0000040553,0.0000462211,0.0001882034,0.0000086851,0.0000399708,0.0000094820,0.0001019434,-0.0000042058,-0.0000876737,0.0000404039,0.0000857092,0.0000248991,0.0000595952,0.0000963535,0.0000262496,0.0000026755,0.0000624990,0.0000610907,0.0000271226,0.0000625040,0.0000684498,-0.0000245334,0.0000609583,-0.0000242627,0.0000349138,0.0000290242,0.0000331194,-0.0000006503,-0.0000287437,0.0000344709,0.0000045653,-0.0000021463,0.0000239871,-0.0000104026,0.0000508530,0.0000157398,0.0000043950,0.0000388638
2308,-0.0001166423,-0.0000004862,0.0000556344,0.0001225073,0.0005637958,0.0000267569,0.0001712117,0.0001185216,0.0000502502,0.0000040397,0.0000078062,0.0000627436,0.0000341856,-0.0000326923,0.0000197370,0.0001247256,0.0000632651,0.0002190250,0.0000527134,0.0000675421,0.0000256477,0.0000249720,0.0000365767,-0.0000275185,-0.0000078700,-0.0000007050,0.0000303800,0.0001001532,-0.0000383195,0.0000454929,0.0000031451,-0.0000152061,0.0000470285,-0.0000476379,-0.0000287079,-0.0000186340,0.0001079583,-0.0000149303,0.0000158141,0.0000180306,0.0000454132,0.0000935520,0.0000189478,0.0000897178,0.0000949258,0.0000123911,-0.0000115429,0.0000089652,0.0000765275,-0.0000674130,-0.0000119882,-0.0000112580,-0.0000210807,-0.0000111083,0.0000111867,0.0001464649,-0.0000491161,0.0001473831,0.0000177287,0.0000110797,-0.0000156229,0.0000505654,0.0000221635,-0.0000197327,-0.0000035894,0.0000384303,-0.0000333865,-0.0000251474,0.0000036080,-0.0000045535,-0.0000070570,-0.0000061299,0.0001474944,0.0000062538,-0.0000004822,-0.0000013944,0.0000113165,0.0000457277,-0.0000507701,0.0001123781,-0.0000044485,-0.0000042409,0.0000066572,-0.0000306987,0.0000322480,0.0000329567,0.0000397188,0.0000478911,0.0000018989,0.0000072050,0.0000082285,-0.0000306069,-0.0000168956,-0.0000025293,0.0000047868,0.0000284481,0.0000003605,-0.0000700771,-0.0000038539,0.0000326255,0.0000247897,-0.0000163795,0.0000185264,-0.0000069963,-0.0000126544,-0.0000193748,0.0000259326,0.0000238886,-0.0000154247,-0.0000533759,0.0000447704,0.0000275197,0.0000068338,0.0000944767,-0.0000098371,-0.0000465464,0.0000080807,0.0000044104,0.0000755371,-0.0000351460,0.0000505092,0.0000706778,0.0000905057,0.0001167503,-0.0000228845,0.0000037673,-0.0000155989,0.0000291405,0.0001595796,0.0000669873,0.0000887990,0.0000398362,-0.0000403961,0.0000646751,0.0000480180,0.0000203347,0.0000221406,0.0000056206,-0.0000262217,-0.0000034039,-0.0000061543,0.0000217938,0.0000111375,-0.0000061113,0.0000559271,-0.0000288738,-0.0001057767,0.0000021605,0.0000447531,0.0000075706,0.0000477632,0.0000788887,-0.0000142105,0.0000045428,0.0000224928,-0.0000374578,-0.0000388491,0.0000591127,-0.0000299244,-0.0000127432,-0.0000004916,-0.0000241453,-0.0000151427,-0.0000466334,-0.0000362328,-0.0000073134,0.0000134872,0.0001032817,-0.0000139291,-0.0000761760,0.0000268901,-0.0000082099,0.0000124799,-0.0000400702,0.0000019701,0.0000219843
2318,0.0000206535,0.0000014603,0.0001607183,0.0001465689,0.0000267569,0.0002432601,0.0000494600,0.0000352264,0.0000423269,0.0000003890,0.0000151190,0.0001393989,0.0000918762,0.0000108944,0.0000563385,0.0000362482,0.0001532816,0.0000911940,0.0000259975,0.0001100239,-0.0000037684,0.0000284736,0.0000312838,-0.0000338964,-0.0000130625,-0.0000153633,0.0001738475,0.0001899013,0.0000001528,0.0000186469,-0.0000015695,0.0000371338,-0.0000189246,0.0000022448,-0.0000216293,-0.0000040580,0.0001236861,0.0000101095,0.0000337096,0.0000076807,0.0000639718,0.0001491916,0.0000250902,0.0000624407,0.0000153041,-0.0000657055,0.0000132716,0.0000213395,-0.0000153724,0.0000143565,0.0000231509,0.0000142830,-0.0000405625,0.0000357664,-0.0000045916,0.0000582165,-0.0000192526,0.0000348859,0.0000418206,0.0000143267,-0.0000133185,0.0000310771,0.0000087584,-0.0000114940,0.0000395014,-0.0000258081,-0.0000047539,-0.0000114667,0.0000069707,-0.0000376471,-0.0000073622,-0.0000190540,0.0000812582,-0.0000278484,-0.0000078583,0.0000058581,-0.0000295585,0.0000370469,-0.0000258077,0.0000513024,0.0000446215,-0.0000132242,-0.0000428957,-0.0000099264,0.0000235214,0.0000220062,0.0000366070,-0.0000344700,0.0000159029,0.0000090366,0.0000365208,-0.0000057822,0.0000273167,-0.0000143899,0.0000140304,0.0000688828,0.0000262549,-0.0000157859,-0.0000257131,0.0000214001,0.0000238397,-0.0000021957,0.0000229823,-0.0000060485,-0.0000049312,-0.0000052388,0.0000059445,0.0000248627,0.0000007343,-0.0000154487,0.0000091606,0.0000404545,0.0000056853,0.0000250036,-0.0000145030,-0.0000267870,0.0000459267,0.0000054864,0.0000238808,0.0000142747,0.0000101197,0.0000697109,0.0000435220,0.0000160618,-0.0000198335,0.0000189352,-0.0000242064,-0.0000284615,-0.0000043551,-0.0000372144,0.0000324858,0.0000332037,0.0000072318,0.0000326838,0.0000105996,0.0000559141,0.0000108845,0.0000506714,-0.0000139768,0.0000278992,0.0000404269,0.0000001828,0.0000133531,-0.0000073154,0.0000162259,0.0000191279,-0.0000575644,-0.0000151870,0.0000422423,-0.0000068972,0.0000347983,0.0000365387,0.0000177654,-0.0000070884,0.0000325982,0.0000080823,0.0000016524,0.0000172780,0.0000480565,0.0000053127,0.0000655061,-0.0000008188,-0.0000264600,0.0000047857,0.0000050939,-0.0000037371,0.0000113862,0.0000581882,-0.0000172639,-0.0000170004,-0.0000101045,-0.0000049648,-0.0000066782,0.0000013621,0.0000073904,0.0000032958
2330,-0.0000429323,-0.0000097168,0.0000608875,0.0000525765,0.0001712117,0.0000494600,0.0002551259,0.0001147349,0.0000555593,-0.0000023632,0.0000018688,0.0000493312,0.0000474896,0.0000023907,0.0000657902,0.0001024806,0.0000320096,0.0001502009,0.0000396168,0.0000466168,0.0000301063,0.0000265691,0.0000338500,-0.0000235926,0.0000045105,0.0000280030,0.0000601141,0.0001390724,-0.0000105744,0.0000465672,0.0000042762,-0.0000070935,-0.0000022311,-0.0000418723,-0.0000261325,-0.0000380161,-0.0000156274,0.0000089592,0.0000246384,0.0000123223,0.0000508373,0.0000905153,-0.0000143834,0.0000621440,0.0000110696,-0.0000153026,-0.0000295957,0.0000114225,-0.0000809270,-0.0000376762,-0.0000129624,-0.0000501817,-0.0000014715,0.0000200722,0.0000056459,0.0000533449,-0.0000363306,-0.0000095116,-0.0000072770,0.0000048014,-0.0000244151,0.0000381084,0.0000081976,-0.0000162579,-0.0000039867,0.0000159672,-0.0000155566,-0.0000058841,0.0000379812,0.0000061342,-0.0000050715,-0.0000143981,0.0000954005,-0.0000049535,-0.0000153552,-0.0000064074,0.0000033038,0.0000147304,-0.0000175574,0.0000580850,-0.0000052461,-0.0000123629,-0.0000407207,-0.0000227598,0.0000047746,0.0000033118,0.0000009875,0.0000112095,-0.0000094107,0.0000162556,-0.0000081613,-0.0000199570,0.0000123810,-0.0000067670,0.0000038930,0.0000446107,0.0000108682,-0.0000462473,-0.0000097913,-0.0000046502,-0.0000036374,-0.0000175883,-0.0000115645,-0.0000208069,-0.0000008794,-0.0000263182,0.0000198423,0.0000194061,-0.0000310692,-0.0000355676,-0.0000030263,0.0000056638,-0.0000248768,0.0000094864,-0.0000053093,-0.0000287699,0.0000335813,-0.0000033987,0.0000853481,-0.0000536735,0.0000231806,0.0000470622,0.0000305947,0.0000317701,-0.0000345500,0.0000077463,-0.0000255656,0.0000090804,-0.0000217446,0.0000058041,0.0000188134,0.0000078037,-0.0000154825,0.0000184326,-0.0000068572,0.0000253890,0.0000162153,0.0000029386,-0.0000081461,0.0000306898,0.0000377382,0.0000226409,0.0000015175,0.0000034445,0.0000463372,-0.0000152289,-0.0000255363,-0.0000015251,0.0000257290,0.0000057488,0.0000539380,0.0000044859,-0.0000198629,-0.0000087632,0.0000466663,0.0000056295,-0.0000081473,-0.0000180628,-0.0000100981,-0.0000117998,0.0000155144,-0.0000087080,-0.0000419293,-0.0000268490,-0.0000230126,-0.0000120266,0.0000023113,0.0000778029,-0.0000078605,-0.0000339701,-0.0000274721,-0.0000028559,-0.0000025555,-0.0000316026,-0.0000120804,0.0000194921
2454,-0.0000629998,-0.0000160113,0.0000257376,0.0000425334,0.0001185216,0.0000352264,0.0001147349,0.0003331411,0.0000403823,0.0000288365,0.0000066645,-0.0000007843,0.0000059381,0.0000072336,0.0000776933,0.0000738847,0.0000165045,0.0001141573,0.0000231444,-0.0000049432,0.0000309099,0.0000314735,0.0000357996,-0.0000039171,0.0000102809,-0.0000170880,0.0000373936,0.0000267157,0.0000297741,-0.0000149572,-0.0000279947,-0.0000276761,-0.0000100031,-0.0000340974,-0.0000435932,-0.0000665636,-0.0000516046,-0.0000187898,-0.0000119305,-0.0000359422,0.0000023125,0.0000630444,0.0000392818,0.0000059758,-0.0000091970,-0.0000011633,-0.0000279910,-0.0000005541,0.0000713059,-0.0000341035,-0.0000098770,-0.0000593529,0.0000195134,-0.0000160671,0.0000063171,-0.0000061289,-0.0000127027,0.0000262273,-0.0000153046,-0.0000318690,-0.0000033612,0.0000084229,-0.0000018122,-0.0000339673,-0.0000084650,-0.0000156869,-0.0000254093,0.0000060374,0.0000402622,0.0000070124,-0.0000156949,-0.0000234356,0.0001195737,-0.0000239360,-0.0000094687,-0.0000067050,-0.0000147707,0.0000002058,-0.0000610874,0.0000563486,-0.0000148376,-0.0000256422,-0.0000785845,-0.0000557592,0.0000478728,0.0000507132,0.0000088080,-0.0000114343,-0.0000023265,0.0000076356,-0.0000159376,-0.0000128007,0.0000069137,-0.0000120477,-0.0000073531,0.0000324371,-0.0000060459,-0.0000534995,-0.0000146395,-0.0000135406,-0.0000133180,-0.0000189807,0.0000040746,-0.0000184051,-0.0000136441,-0.0000226578,0.0000065445,0.0000329765,-0.0000257971,-0.0000234696,0.0000107812,0.0000041727,-0.0000281328,0.0000031509,-0.0000270526,-0.0000091642,-0.0000016874,-0.0000022122,0.0000302376,-0.0000439428,0.0000154207,0.0000177168,0.0000359709,0.0000243166,-0.0000339824,-0.0000384403,-0.0000209937,0.0000265545,-0.0000663369,-0.0000399002,-0.0000038389,-0.0000248516,0.0000083652,0.0000130983,-0.0000075092,-0.0000014536,0.0000149555,-0.0000497256,0.0000132303,-0.0000126530,-0.0000315587,-0.0000018916,0.0000066574,0.0000015414,-0.0000175458,-0.0000020043,-0.0000298356,0.0000057762,0.0000082358,0.0000046262,-0.0000115500,0.0000060292,-0.0000160836,-0.0000096405,-0.0000248994,-0.0000194486,-0.0000698104,-0.0000380603,0.0000736080,-0.0000084990,0.0000017264,-0.0000155296,-0.0000490557,-0.0000306683,-0.0000198868,-0.0000146064,-0.0000132918,0.0001093167,-0.0000059801,-0.0000334132,-0.0000289946,0.0000025822,-0.0000282103,-0.0000156687,-0.0000275875,0.0000319366
2882,-0.0000070991,-0.0000180407,0.0000514818,0.0001012596,0.0000502502,0.0000423269,0.0000555593,0.0000403823,0.0002596260,0.0000424420,0.0000240047,0.0000314911,-0.0000977770,0.0000055248,0.0000000074,-0.0000238803,0.0001300470,0.0000316057,0.0000111462,0.0000408694,-0.0000166269,0.0000127902,0.0000121968,-0.0000167683,0.0000035744,-0.0000013045,0.0000085722,0.0000342275,-0.0000061268,0.0000094418,0.0000081415,0.0000007567,0.0000052467,-0.0000355134,-0.0000106415,-0.0000115701,0.0000425807,0.0000055848,0.0000128276,0.0000037560,-0.0000175609,0.0000224454,-0.0000133001,-0.0000035439,0.0000240097,-0.0000191184,-0.0000188198,0.0000329978,-0.0000035844,0.0000089053,0.0000039965,0.0000008812,-0.0000018678,0.0000187340,0.0000060170,-0.0000010893,-0.0000128068,0.0000459624,-0.0000042332,-0.0000029595,-0.0000070740,0.0000109449,-0.0000128275,0.0000116958,0.0000044996,-0.0000103346,-0.0000060668,0.0000003564,-0.0000061648,0.0000006919,-0.0000053939,0.0000022559,-0.0000266506,-0.0000045916,-0.0000205983,0.0000178856,0.0000269309,0.0000070833,-0.0000125487,0.0000017699,-0.0000079700,0.0000195281,0.0000267386,0.0000048700,-0.0000019987,-0.0000000567,0.0000080742,0.0000177745,-0.0000024229,-0.0000016710,-0.0000000082,0.0000081750,0.0000059404,-0.0000130897,0.0000038085,0.0000072290,-0.0000046124,-0.0000262151,-0.0000105480,-0.0000096384,-0.0000004712,0.0000063383,-0.0000004717,-0.0000153468,0.0000024249,-0.0000074508,0.0000222240,0.0000015081,-0.0000225361,0.0000141901,-0.0000030828,0.0000107464,-0.0000020521,0.0000081421,0.0000058096,0.0000425645,0.0000247164,0.0000133273,-0.0000016954,-0.0000155994,-0.0000100245,0.0000331191,0.0000239717,0.0000220042,-0.0000103148,-0.0000185270,-0.0000392857,-0.0000260636,0.0000470357,-0.0000207112,0.0000108581,0.0000071214,-0.0000082442,0.0000199625,0.0000148572,-0.0000115765,0.0000356016,0.0000164058,0.0000164036,0.0000240104,0.0000614676,0.0000136144,0.0000057018,0.0000068458,0.0000119211,-0.0000055596,-0.0000061988,-0.0000024861,-0.0000313875,0.0000025592,-0.0000052828,0.0000090164,0.0000071735,0.0000098842,0.0000061785,-0.0000257702,0.0000375081,-0.0000161327,0.0000249850,-0.0000229077,-0.0000198128,0.0000045650,-0.0000042453,-0.0000348216,-0.0000171320,-0.0000122482,-0.0000121824,0.0000174529,0.0000034734,-0.0000076906,-0.0000139949,-0.0000139271,-0.0000031598,-0.0000212315,0.0000087358,-0.0000190586
2884,-0.0000597901,0.0000047093,0.0000061506,-0.0000002203,0.0000040397,0.0000003890,-0.0000023632,0.0000288365,0.0000424420,0.0000784833,0.0000258619,-0.0000107633,-0.0000494971,0.0000008519,-0.0000194107,-0.0000055216,0.0000128619,0.0000018053,0.0000003523,0.0000026448,-0.0000218976,-0.0000043090,-0.0000063740,0.0000010274,-0.0000076477,-0.0000013177,-0.0000293361,-0.0000106171,0.0000028809,-0.0000085646,0.0000023725,-0.0000053499,0.0000033937,-0.0000025314,0.0000049158,-0.0000078890,-0.0000122561,0.0000042905,-0.0000058721,0.0000071261,0.0000018973,0.0000163065,0.0000052463,-0.0000264842,-0.0000264131,-0.0000241823,0.0000004966,0.0000150133,-0.0000130317,0.0000015545,0.0000032948,-0.0000105945,0.0000007603,-0.0000125368,0.0000028491,-0.0000398986,0.0000058012,-0.0000412661,-0.0000238664,0.0000045622,0.0000062933,-0.0000089082,-0.0000146890,0.0000035568,0.0000093960,-0.0000055396,0.0000035528,-0.0000004411,-0.0000110430,-0.0000170257,-0.0000115502,-0.0000186863,0.0000466325,-0.0000125030,-0.0000088201,0.0000093000,-0.0000288069,-0.0000100187,-0.0000084575,-0.0000242495,-0.0000099120,-0.0000011205,-0.0000047312,-0.0000046925,-0.0000116226,-0.0000111884,-0.0000121254,0.0000004124,-0.0000003094,-0.0000042812,-0.0000064737,0.0000052611,-0.0000093742,-0.0000057286,-0.0000085824,0.0000025128,-0.0000123229,-0.0000094982,0.0000015622,0.0000004607,-0.0000062113,0.0000009597,-0.0000061436,0.0000093737,0.0000003932,-0.0000077005,-0.0000013569,0.0000139140,-0.0000027478,0.0000168124,-0.0000111999,-0.0000053057,-0.0000096995,-0.0000007497,0.0000053309,0.0000061691,-0.0000146954,0.0000093807,0.0000059071,-0.0000142403,-0.0000052770,0.0000033978,0.0000009429,0.0000073344,0.0000049181,-0.0000045928,-0.0000265794,-0.0000049629,-0.0000211756,0.0000438464,-0.0000064327,-0.0000082399,-0.0000013402,0.0000005186,-0.0000254637,-0.0000095087,0.0000262427,0.0000051475,0.0000087654,-0.0000056916,-0.0000098795,-0.0000040742,0.0000000217,0.0000071006,0.0000062742,-0.0000065441,0.0000136715,0.0000030620,-0.0000253101,-0.0000069473,-0.0000107167,0.0000030603,0.0000047924,0.0000098339,-0.0000039543,-0.0000149406,0.0000092090,-0.0000046369,-0.0000070389,-0.0000059023,0.0000042240,0.0000095528,0.0000066139,-0.0000026349,0.0000048019,-0.0000003722,0.0000009333,0.0000375829,0.0000039934,-0.0000023790,0.0000148184,-0.0000105608,-0.0000110755,-0.0000047344,0.0000121044,-0.0000213831
